id,category,amenities,bathrooms,bedrooms,currency,fee,has_photo,pets_allowed,price,price_display,price_type,square_feet,cityname,state,latitude,longitude,source
5668640009,housing/rent/apartment,Unknown,1,1,USD,No,Thumbnail,Cats,2195,2195,Monthly,542,Redondo Beach,CA,33.852,-118.3759,RentLingo
5668639818,housing/rent/apartment,Unknown,1.5,3,USD,No,Thumbnail,"Cats,Dogs",1250,1250,Monthly,1500,Newport News,VA,37.0867,-76.4941,RentLingo
5668639686,housing/rent/apartment,Unknown,2,3,USD,No,Thumbnail,No,1395,1395,Monthly,1650,Raleigh,NC,35.823,-78.6438,RentLingo
5668639659,housing/rent/apartment,Unknown,1,2,USD,No,Thumbnail,"Cats,Dogs",1600,1600,Monthly,820,Vacaville,CA,38.3622,-121.9712,RentLingo
5668639374,housing/rent/apartment,Unknown,1,1,USD,No,Thumbnail,"Cats,Dogs",975,975,Monthly,624,Albuquerque,NM,35.1038,-106.611,RentLingo
5668639368,housing/rent/apartment,Unknown,1.5,2,USD,No,Thumbnail,"Cats,Dogs",1250,1250,Monthly,965,Albuquerque,NM,35.1038,-106.611,RentLingo
5668638765,housing/rent/apartment,Unknown,2,2,USD,No,Thumbnail,No,1600,1600,Monthly,1120,Hampton,VA,37.0451,-76.3664,RentLingo
5668638578,housing/rent/apartment,Unknown,2,2,USD,No,Thumbnail,"Cats,Dogs",1300,1300,Monthly,947,Lakewood,CO,39.6894,-105.1119,RentLingo
5668638476,housing/rent/apartment,Unknown,1,2,USD,No,Thumbnail,Dogs,795,795,Monthly,600,Charleston,WV,38.3454,-81.6219,RentLingo
5668638122,housing/rent/apartment,Unknown,2,2,USD,No,Thumbnail,No,2150,2150,Monthly,1005,Chatsworth,CA,34.2551,-118.5976,RentLingo
5668638015,housing/rent/apartment,Unknown,2.5,3,USD,No,Thumbnail,No,1795,1795,Monthly,1522,Alpharetta,GA,34.0718,-84.2525,RentLingo
5668637998,housing/rent/apartment,Unknown,3,2,USD,No,Thumbnail,No,3195,3195,Monthly,3077,Marblehead,MA,42.4982,-70.8647,RentLingo
5668637809,housing/rent/apartment,Unknown,2,2,USD,No,Thumbnail,No,2395,2395,Monthly,896,Washington,DC,38.9118,-77.0132,RentLingo
5668637541,housing/rent/apartment,Unknown,3.5,4,USD,No,Thumbnail,No,7800,7800,Monthly,4650,Scottsdale,AZ,33.5783,-111.8902,RentLingo
5668637528,housing/rent/apartment,Unknown,1,3,USD,No,Thumbnail,No,720,720,Monthly,800,Ames,IA,42.0259,-93.6516,RentLingo
5668636381,housing/rent/apartment,Unknown,1.5,2,USD,No,Thumbnail,"Cats,Dogs",2000,2000,Monthly,872,Kirkland,WA,47.7046,-122.1989,RentLingo
5668636291,housing/rent/apartment,Unknown,1,1,USD,No,Thumbnail,"Cats,Dogs",729,729,Monthly,800,San Antonio,TX,29.4624,-98.5253,RentLingo
5668635018,housing/rent/apartment,Unknown,1,1,USD,No,Thumbnail,"Cats,Dogs",1045,1045,Monthly,700,Villa Park,IL,41.8787,-87.9798,RentLingo
5668634255,housing/rent/apartment,Unknown,3,3,USD,No,Thumbnail,"Cats,Dogs",1800,1800,Monthly,1500,Oxford,MS,34.3504,-89.519,RentLingo
5668633909,housing/rent/apartment,Unknown,1,2,USD,No,Thumbnail,"Cats,Dogs",1250,1250,Monthly,435,Portland,OR,45.5091,-122.6449,RentLingo
