Method,Classifier,Class 1 Recall,Class 1 Precision
Baseline,Logistic Regression,0.00111731843575419,0.1
Baseline,Random Forest,0.016791161885631786,0.3241558441558442
Baseline,K-Nearest Neighbours,0.03471847341660913,0.21554077950629674
Baseline,Support Vector Machines,0.0,0.0
Baseline,Naive Bayes,0.06267026552005524,0.22635504141960383
Class Weighting,Logistic Regression,0.5890214048082355,0.14311485878986524
Class Weighting,Random Forest,0.004481827882744335,0.33999999999999997
Class Weighting,K-Nearest Neighbours,0.03471847341660913,0.21554077950629674
Class Weighting,Support Vector Machines,0.5150649676730902,0.152808215150919
Class Weighting,Naive Bayes,0.06267026552005524,0.22635504141960383
Bagging (Algorithmic Method),Logistic Regression,0.00111731843575419,0.1
Bagging (Algorithmic Method),Random Forest,0.011192015567133262,0.27454545454545454
Bagging (Algorithmic Method),K-Nearest Neighbours,0.026878413156738435,0.17808359966254703
Bagging (Algorithmic Method),Support Vector Machines,0.0,0.0
Bagging (Algorithmic Method),Naive Bayes,0.059299479003201296,0.24123654262767164
Boosting (Algorithmic Method),Logistic Regression,0.0,0.0
Boosting (Algorithmic Method),Random Forest,0.00896365576548867,0.22444444444444445
Boosting (Algorithmic Method),K-Nearest Neighbours,0.03471847341660913,0.21554077950629674
Boosting (Algorithmic Method),Support Vector Machines,0.0,0.0
Boosting (Algorithmic Method),Naive Bayes,0.06267026552005524,0.22635504141960383
