Method,Classifier,Class 1 Recall,Class 1 Precision
Baseline,Logistic Regression,0.10108173076923077,0.48348132775377356
Baseline,Random Forest,0.08091346153846155,0.41644523776876713
Baseline,K-Nearest Neighbours,0.16802884615384617,0.4164048095000119
Baseline,Support Vector Machines,0.041971153846153846,0.392948717948718
Baseline,Naive Bayes,0.4820673076923077,0.317240407737459
Undersampling + SMOTE,Logistic Regression,0.817175572519084,0.7647422247527936
Undersampling + SMOTE,Random Forest,0.9494274809160304,0.8709415593385714
Undersampling + SMOTE,K-Nearest Neighbours,0.9730916030534352,0.8076742921073988
Undersampling + SMOTE,Support Vector Machines,0.8690839694656489,0.772736130805301
Undersampling + SMOTE,Naive Bayes,0.766412213740458,0.7587168180552804
Undersampling + ADASYN,Logistic Regression,0.813921271019106,0.7539921832241331
Undersampling + ADASYN,Random Forest,0.9547912670137937,0.8676318708960181
Undersampling + ADASYN,K-Nearest Neighbours,0.9825547568353816,0.8006444488952595
Undersampling + ADASYN,Support Vector Machines,0.8872631068575163,0.7551611360853654
Undersampling + ADASYN,Naive Bayes,0.7529544448426333,0.7460060831435531
