ID,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,CLAIM_FLAG
115745330,0,49.0,0,11.0,"$93,202",No,"$285,990",Yes,z_F,Masters,Manager,30,Private,"$15,720",1,z_SUV,no,$0,0,No,0,$0,14.0,0
528847133,0,50.0,0,5.0,"$45,070",No,"$171,265",Yes,z_F,<High School,z_Blue Collar,34,Private,"$22,240",1,Pickup,no,$0,0,No,1,$0,1.0,0
752768207,0,36.0,0,10.0,"$14,418",No,$0,z_No,M,<High School,Clerical,37,Private,"$17,120",1,Van,yes,$0,0,No,2,$0,8.0,0
357800314,1,44.0,2,11.0,"$61,798",No,"$227,814",Yes,M,z_High School,Clerical,20,Private,"$17,640",1,Van,no,"$3,863",1,No,3,$0,10.0,0
827178489,0,48.0,0,13.0,"$70,682",No,"$263,905",Yes,z_F,z_High School,z_Blue Collar,25,Commercial,"$27,800",4,Pickup,no,$0,0,Yes,0,"$2,582",1.0,1
182670239,0,51.0,0,14.0,"$74,713",No,$0,z_No,z_F,z_High School,Professional,5,Private,"$6,600",11,Sports Car,no,$0,0,No,0,$0,12.0,0
724661801,0,59.0,0,0.0,$0,No,"$121,656",Yes,z_F,PhD,Doctor,17,Private,"$9,940",4,z_SUV,no,$0,0,No,0,$0,9.0,0
541204921,0,46.0,0,8.0,"$73,872",No,"$245,878",Yes,z_F,Masters,Lawyer,43,Private,"$20,240",4,Sports Car,no,$0,0,No,0,$0,16.0,0
541177002,0,56.0,0,15.0,"$160,200",No,"$403,584",Yes,M,Masters,Professional,38,Private,"$11,420",1,Minivan,yes,$0,0,No,1,$0,11.0,0
443463574,0,42.0,0,10.0,"$149,897",No,$0,z_No,z_F,PhD,Manager,34,Private,"$13,910",6,Sports Car,no,$0,0,No,1,$0,10.0,0
532074764,0,38.0,1,10.0,"$91,424",Yes,"$247,423",z_No,z_F,Bachelors,Professional,27,Private,"$14,440",1,z_SUV,no,$0,0,Yes,1,$0,8.0,0
154162659,0,50.0,0,15.0,"$53,924",No,"$203,155",Yes,M,z_High School,z_Blue Collar,37,Commercial,"$25,320",1,Panel Truck,yes,"$5,546",2,No,6,$747,1.0,1
517382256,0,51.0,0,13.0,"$63,150",No,"$190,671",Yes,z_F,Bachelors,Manager,57,Private,"$9,270",1,z_SUV,no,"$6,662",1,No,5,$0,12.0,0
509128937,0,54.0,0,6.0,"$43,946",No,$0,z_No,z_F,PhD,Doctor,54,Private,"$16,320",1,Pickup,no,$0,0,Yes,2,$0,14.0,0
148007906,0,51.0,0,7.0,"$33,349",No,"$178,852",Yes,M,<High School,z_Blue Collar,32,Commercial,"$10,570",3,Pickup,no,"$1,529",2,No,0,$0,4.0,0
177212541,2,44.0,3,15.0,"$69,264",No,"$242,234",Yes,M,z_High School,z_Blue Collar,35,Commercial,"$16,510",4,Minivan,yes,$0,0,No,0,$0,9.0,0
534426680,0,40.0,0,11.0,"$164,807",No,$0,z_No,M,PhD,Doctor,22,Private,"$5,500",1,Pickup,yes,$0,0,No,0,$0,17.0,0
663029590,0,54.0,0,12.0,"$46,074",No,$0,z_No,M,Bachelors,Manager,42,Private,"$11,510",3,Pickup,yes,$0,0,No,0,$0,6.0,0
807685357,0,39.0,0,10.0,"$198,320",No,"$494,094",Yes,M,z_High School,z_Blue Collar,20,Private,"$38,910",6,Minivan,yes,$0,0,No,1,$0,1.0,0
702922859,0,59.0,0,7.0,"$94,973",No,"$319,369",Yes,M,Bachelors,Manager,21,Private,"$7,400",1,Pickup,yes,$0,0,No,0,$0,11.0,0
130076382,0,47.0,0,9.0,"$121,991",No,"$329,229",Yes,z_F,Masters,Manager,18,Private,"$5,180",8,Minivan,yes,$0,0,No,1,$0,1.0,0
88707431,0,48.0,0,11.0,"$48,182",No,"$167,923",Yes,M,Bachelors,Professional,35,Commercial,"$24,980",13,Panel Truck,yes,$0,0,No,0,$0,7.0,0
414716379,0,52.0,0,15.0,"$55,766",No,"$239,175",Yes,M,Bachelors,z_Blue Collar,18,Commercial,"$23,900",6,Panel Truck,yes,"$5,946",1,No,2,$0,1.0,0
138657379,0,40.0,0,11.0,"$87,967",No,"$260,892",Yes,M,Masters,Professional,49,Private,"$14,300",10,Minivan,yes,$0,0,Yes,0,$0,11.0,0
869972677,0,56.0,0,3.0,"$37,352",No,$0,z_No,M,Masters,Lawyer,40,Private,"$13,910",7,Minivan,no,$0,0,No,0,$0,20.0,0
702221350,0,45.0,0,14.0,"$68,958",No,"$190,128",Yes,M,z_High School,z_Blue Collar,36,Private,"$13,860",3,Minivan,yes,$0,0,No,1,$0,1.0,0
483052498,1,38.0,3,14.0,"$48,021",Yes,"$170,963",z_No,z_F,z_High School,Clerical,13,Private,"$17,090",1,z_SUV,no,$0,0,No,2,$0,1.0,0
686729960,0,65.0,0,15.0,"$131,232",No,"$374,391",Yes,M,Masters,Lawyer,36,Private,"$15,970",3,z_SUV,yes,$0,0,No,0,$0,19.0,0
342340403,0,49.0,0,12.0,"$68,593",No,"$224,750",Yes,z_F,z_High School,z_Blue Collar,29,Commercial,"$14,760",11,z_SUV,no,$0,0,No,1,$0,1.0,0
723334294,0,52.0,0,10.0,"$58,780",No,$0,z_No,M,Bachelors,z_Blue Collar,45,Commercial,"$12,580",4,Minivan,yes,"$1,971",3,No,0,$0,5.0,0
779542452,0,39.0,1,12.0,"$80,186",Yes,$0,z_No,z_F,Bachelors,Professional,19,Private,"$14,020",1,Minivan,no,"$6,642",1,No,2,$0,14.0,0
690716620,0,35.0,1,11.0,"$77,486",Yes,"$232,815",z_No,M,Bachelors,Manager,28,Private,"$13,690",1,Minivan,yes,$0,0,No,0,$0,1.0,0
789902663,0,40.0,1,11.0,"$1,965",Yes,$0,z_No,z_F,PhD,Home Maker,21,Private,"$20,630",1,Minivan,no,$0,0,No,2,$0,11.0,0
